row_index,predicted_probability,predicted_label,actual_label,explanation
1423,0.992969255,1,1,"This user was flagged because overall system activity was unusually high, multiple risk signals increased at the same time, and suspicious behavior stayed elevated over several weeks."
41532,0.969722156,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and file-related activity was unusually high."
9383,0.962631335,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and daily external device usage was unusually high."
28016,0.991486447,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and file-related activity was unusually high."
20289,0.846018078,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and suspicious behavior stayed elevated over several weeks."
1132,0.964950565,1,1,"This user was flagged because multiple risk signals increased at the same time, web activity occurred across many days, and suspicious behavior stayed elevated over several weeks."
10893,0.997817155,1,1,"This user was flagged because overall system activity was unusually high, multiple risk signals increased at the same time, and file-related activity was unusually high."
1051,0.940465461,1,1,"This user was flagged because overall system activity was unusually high, multiple risk signals increased at the same time, and daily external device usage was unusually high."
20253,0.950140928,1,1,"This user was flagged because overall system activity was unusually high, multiple risk signals increased at the same time, and login activity occurred across many days."
1546,0.920338164,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and many emails included attachments."
6566,0.926400777,1,1,"This user was flagged because multiple risk signals increased at the same time, suspicious behavior stayed elevated over several weeks, and overall system activity was unusually high."
24953,0.949676594,1,1,"This user was flagged because multiple risk signals increased at the same time, web activity occurred across many days, and suspicious behavior stayed elevated over several weeks."
10673,0.539437014,1,0,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and many emails included attachments."
27938,0.617461372,1,1,"This user was flagged because multiple risk signals increased at the same time, logins came from multiple computers, and suspicious behavior stayed elevated over several weeks."
5539,0.989237962,1,1,"This user was flagged because overall system activity was unusually high, suspicious behavior stayed elevated over several weeks, and multiple risk signals increased at the same time."
27993,0.968389659,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and file-related activity was unusually high."
36084,0.826900128,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and suspicious behavior stayed elevated over several weeks."
30518,0.710340201,1,1,"This user was flagged because multiple risk signals increased at the same time, daily external device usage was unusually high, and device usage changed sharply compared with the previous week."
2105,0.882832118,1,1,"This user was flagged because multiple risk signals increased at the same time, web activity occurred across many days, and suspicious behavior stayed elevated over several weeks."
5301,0.856586557,1,1,"This user was flagged because overall system activity was unusually high, multiple risk signals increased at the same time, and suspicious behavior stayed elevated over several weeks."
3609,0.984589762,1,1,"This user was flagged because multiple risk signals increased at the same time, overall system activity was unusually high, and file-related activity was unusually high."
