row_index,rank,feature,feature_value,shap_value,plain_explanation
1423,1,total_activity,288,2.722516317,Overall system activity was unusually high
1423,2,combined_risk,3.17058604,1.610926248,Multiple risk signals increased at the same time
1423,3,behavioral_risk_3week_avg,8,1.182382825,Suspicious behavior stayed elevated over several weeks
41532,1,combined_risk,3.133072042,3.082315628,Multiple risk signals increased at the same time
41532,2,total_activity,234,2.196914746,Overall system activity was unusually high
41532,3,file_activity,135,1.078235722,File-related activity was unusually high
9383,1,combined_risk,3.114968272,3.261964317,Multiple risk signals increased at the same time
9383,2,total_activity,185,2.008971623,Overall system activity was unusually high
9383,3,device_weekly_avg_device_connections_per_day,4.451948756,0.892904705,Daily external device usage was unusually high
28016,1,combined_risk,3.645390071,3.041032625,Multiple risk signals increased at the same time
28016,2,total_activity,246,2.2463454,Overall system activity was unusually high
28016,3,file_activity,123,1.095584771,File-related activity was unusually high
20289,1,combined_risk,3.610115715,2.252858371,Multiple risk signals increased at the same time
20289,2,total_activity,195,2.217446271,Overall system activity was unusually high
20289,3,behavioral_risk_3week_avg,7,1.011380284,Suspicious behavior stayed elevated over several weeks
1132,1,combined_risk,3.605263158,3.556628216,Multiple risk signals increased at the same time
1132,2,http_weekly_active_days,5.504626106,2.094309521,Web activity occurred across many days
1132,3,behavioral_risk_3week_avg,7,1.41666448,Suspicious behavior stayed elevated over several weeks
10893,1,total_activity,707,2.981109722,Overall system activity was unusually high
10893,2,combined_risk,3.433930571,1.567511238,Multiple risk signals increased at the same time
10893,3,file_activity,292,1.363561005,File-related activity was unusually high
1051,1,total_activity,217,3.08493866,Overall system activity was unusually high
1051,2,combined_risk,2.622620381,2.96679923,Multiple risk signals increased at the same time
1051,3,device_weekly_avg_device_connections_per_day,4.561392799,0.834349284,Daily external device usage was unusually high
20253,1,total_activity,165,2.802794734,Overall system activity was unusually high
20253,2,combined_risk,2.11683464,1.338972777,Multiple risk signals increased at the same time
20253,3,logon_weekly_active_days,-2.122578512,1.267978129,Login activity occurred across many days
1546,1,combined_risk,3.165360209,3.417767963,Multiple risk signals increased at the same time
1546,2,total_activity,247,3.054615404,Overall system activity was unusually high
1546,3,email_weekly_emails_with_attachments,4.827256179,0.272941237,Many emails included attachments
6566,1,combined_risk,4.101903695,1.738233693,Multiple risk signals increased at the same time
6566,2,behavioral_risk_3week_avg,8.333333333,1.387951355,Suspicious behavior stayed elevated over several weeks
6566,3,total_activity,165,0.932089028,Overall system activity was unusually high
24953,1,combined_risk,3.566442703,3.751988304,Multiple risk signals increased at the same time
24953,2,http_weekly_active_days,5.504626106,1.870697209,Web activity occurred across many days
24953,3,behavioral_risk_3week_avg,7,1.389089709,Suspicious behavior stayed elevated over several weeks
10673,1,combined_risk,2.637364688,3.110652477,Multiple risk signals increased at the same time
10673,2,total_activity,185,1.940082257,Overall system activity was unusually high
10673,3,email_weekly_emails_with_attachments,3.660424565,0.253623044,Many emails included attachments
27938,1,combined_risk,2.581373647,2.734189222,Multiple risk signals increased at the same time
27938,2,logon_weekly_distinct_pcs,4.736532934,1.368127131,Logins came from multiple computers
27938,3,behavioral_risk_3week_avg,5,0.535239693,Suspicious behavior stayed elevated over several weeks
5539,1,total_activity,213,2.910526928,Overall system activity was unusually high
5539,2,behavioral_risk_3week_avg,7.666666667,1.147706974,Suspicious behavior stayed elevated over several weeks
5539,3,combined_risk,2.627846211,1.029991363,Multiple risk signals increased at the same time
27993,1,combined_risk,3.200821202,3.084681023,Multiple risk signals increased at the same time
27993,2,total_activity,339,2.678534963,Overall system activity was unusually high
27993,3,file_activity,165,1.097492221,File-related activity was unusually high
36084,1,combined_risk,2.613661814,3.079196495,Multiple risk signals increased at the same time
36084,2,total_activity,159,1.283294293,Overall system activity was unusually high
36084,3,behavioral_risk_3week_avg,4.666666667,0.621689848,Suspicious behavior stayed elevated over several weeks
30518,1,combined_risk,2.583053378,2.661163773,Multiple risk signals increased at the same time
30518,2,device_weekly_avg_device_connections_per_day,4.233060668,0.81834914,Daily external device usage was unusually high
30518,3,device_change,-51,0.768315516,Device usage changed sharply compared with the previous week
2105,1,combined_risk,3.066442703,4.011914497,Multiple risk signals increased at the same time
2105,2,http_weekly_active_days,5.504626106,1.754240054,Web activity occurred across many days
2105,3,behavioral_risk_3week_avg,6,0.399980896,Suspicious behavior stayed elevated over several weeks
5301,1,total_activity,171,2.825489644,Overall system activity was unusually high
5301,2,combined_risk,2.115528182,1.328573756,Multiple risk signals increased at the same time
5301,3,behavioral_risk_3week_avg,4.333333333,0.947015983,Suspicious behavior stayed elevated over several weeks
3609,1,combined_risk,3.226763718,2.955560582,Multiple risk signals increased at the same time
3609,2,total_activity,403,2.760471346,Overall system activity was unusually high
3609,3,file_activity,221,1.094517094,File-related activity was unusually high
19757,1,combined_risk,3.217618514,3.366573859,Multiple risk signals increased at the same time
19757,2,total_activity,340,3.20173209,Overall system activity was unusually high
19757,3,device_weekly_avg_device_connections_per_day,4.424587745,0.783302113,Daily external device usage was unusually high
34260,1,total_activity,256,4.442760685,Overall system activity was unusually high
34260,2,combined_risk,2.158827921,0.936122382,Multiple risk signals increased at the same time
34260,3,logon_weekly_active_days,-2.122578512,0.928383084,Login activity occurred across many days
30504,1,combined_risk,2.623926838,2.653584238,Multiple risk signals increased at the same time
30504,2,total_activity,193,2.401505861,Overall system activity was unusually high
30504,3,device_weekly_avg_device_connections_per_day,4.451948756,0.568703141,Daily external device usage was unusually high
41518,1,total_activity,458,2.624433318,Overall system activity was unusually high
41518,2,combined_risk,3.761291527,2.01515855,Multiple risk signals increased at the same time
41518,3,file_activity,254,1.078235722,File-related activity was unusually high
4740,1,combined_risk,2.616274729,2.418294408,Multiple risk signals increased at the same time
4740,2,total_activity,204,2.228794572,Overall system activity was unusually high
4740,3,file_activity,103,1.184358642,File-related activity was unusually high
6173,1,total_activity,198,3.226310534,Overall system activity was unusually high
6173,2,combined_risk,2.137178052,0.814064802,Multiple risk signals increased at the same time
6173,3,behavioral_risk_3week_avg,5.333333333,0.492287482,Suspicious behavior stayed elevated over several weeks
28085,1,behavioral_risk_3week_avg,6.666666667,1.940616308,Suspicious behavior stayed elevated over several weeks
28085,2,total_activity,162,1.718735385,Overall system activity was unusually high
28085,3,device_weekly_distinct_pcs_used,1.372520245,1.320175387,External devices were used on multiple computers
23283,1,total_activity,217,2.895416657,Overall system activity was unusually high
23283,2,combined_risk,2.635871594,2.893954115,Multiple risk signals increased at the same time
23283,3,device_weekly_avg_device_connections_per_day,4.28778269,0.737379965,Daily external device usage was unusually high
24306,1,total_activity,254,3.579245587,Overall system activity was unusually high
24306,2,combined_risk,2.688876446,2.288303403,Multiple risk signals increased at the same time
24306,3,behavioral_risk_3week_avg,5,0.313458605,Suspicious behavior stayed elevated over several weeks
24663,1,combined_risk,3.648749533,2.661469797,Multiple risk signals increased at the same time
24663,2,total_activity,253,2.246390167,Overall system activity was unusually high
24663,3,file_activity,123,1.274056716,File-related activity was unusually high
