user,email_risk,file_risk,device_risk,sna_risk,explanation,mitre_tactic,mitre_technique,mitre_id
AJF0370,0.00099,0.950632,1.0,1.0,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
HSB0196,0.00083,1.0,0.893319,0.983785,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
LBH0942,0.00094,0.936527,0.915667,0.955343,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
DLM0051,0.00154,0.91795,0.886027,0.931897,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
HPH0075,0.00182,0.801841,0.746295,0.80249,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
MOH0273,0.00089,0.800378,0.740414,0.798453,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
ZKS0899,0.00033,0.734239,0.701952,0.741881,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
DBB0384,0.00076,0.734755,0.697718,0.740671,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
SAA0999,0.00067,0.728305,0.702305,0.738704,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
QRM0739,0.0014,0.722542,0.701247,0.735292,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
HCM0267,0.00068,0.702417,0.700423,0.722365,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
VIA0063,0.00121,0.733121,0.645495,0.717609,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
THR0873,0.00136,0.733207,0.642908,0.716654,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
BJP0134,0.00013,0.694246,0.698659,0.716328,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
JNJ0556,0.00076,0.686076,0.705128,0.714629,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
MDM0625,0.00141,0.717812,0.641261,0.706742,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
WIF0691,0.00075,0.711017,0.641614,0.702362,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
AVM0947,0.00014,0.662338,0.703834,0.699401,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
BJM0111,0.00032,0.674379,0.684662,0.698532,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
BMG0917,0.00077,0.661564,0.700423,0.697906,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
JDB0169,0.00126,0.670078,0.642672,0.678593,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
CLB0774,0.00032,0.623205,0.701717,0.675128,Unusual file access volume; Frequent removable-media usage,Exfiltration,Exfiltration Over Web Services; Exfiltration Over Physical Media,T1567; T1052
MPM0220,0.00063,0.575299,0.585509,0.596765,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IBB0359,0.00092,0.275135,0.923547,0.561726,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
KKW0879,0.00139,0.131934,0.764644,0.407969,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
OBH0499,0.00163,0.051088,0.869795,0.40469,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
BSS0369,0.00063,0.197385,0.643613,0.394844,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
HRL0540,0.00085,0.152834,0.696777,0.391047,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
AIB0948,0.00013,0.143545,0.701364,0.386944,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
DFH0188,0.00035,0.540208,0.094919,0.36518,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IIW0249,0.00083,0.040681,0.792167,0.364613,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
CAS0507,0.00033,0.540982,0.089273,0.36321,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
XWD0923,0.00063,0.50873,0.123147,0.35858,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AIP0982,0.0007,0.531693,0.085745,0.356376,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SBN0866,0.00137,0.504343,0.088332,0.341529,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JDF0593,0.00014,0.034661,0.740532,0.338388,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
RSC0089,0.00079,0.074396,0.67937,0.336462,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
CTA0020,0.0008,0.05212,0.698894,0.33147,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
BRM0995,0.00064,0.050744,0.697718,0.33003,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
EIS0041,0.00081,0.316161,0.310986,0.323651,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LCB0664,0.00128,0.035607,0.698424,0.321685,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
JBD0616,0.00133,0.029156,0.701952,0.319361,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
HDS0367,0.00095,0.292939,0.32016,0.313742,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MLL0598,0.00014,0.03036,0.652199,0.297937,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
VTT0385,0.00075,0.035177,0.643378,0.297464,Frequent removable-media usage,Exfiltration,Exfiltration Over Physical Media,T1052
JFC0557,0.00072,0.244173,0.32757,0.287491,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BAL0044,0.00093,0.249419,0.265585,0.264209,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HCS0003,0.00188,0.26189,0.235944,0.259639,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
VMJ0546,0.00074,0.290101,0.165843,0.245735,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RNP0211,0.0011,0.226886,0.250412,0.244295,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SGM0021,0.00063,0.223273,0.243355,0.238779,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CGB0637,0.00033,0.200654,0.25347,0.229333,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MLM0950,0.00015,0.23669,0.199247,0.227593,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BDI0533,0.0004,0.211404,0.21642,0.21995,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NAF0326,0.00183,0.210372,0.210539,0.21779,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MTB0620,0.00132,0.169519,0.235709,0.20371,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ICH0294,0.00013,0.215791,0.155963,0.196478,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
TDS0984,0.00079,0.290531,0.040696,0.192373,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JJH0613,0.00133,0.141137,0.246413,0.19127,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ESJ0670,0.00108,0.28408,0.043049,0.189708,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KWE0082,0.00077,0.192139,0.16749,0.187662,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RUM0880,0.00129,0.189129,0.164432,0.184901,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JCG0316,0.00133,0.18586,0.163138,0.182412,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DPM0423,0.00081,0.120667,0.250647,0.180443,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HVF0067,0.00077,0.173992,0.162785,0.174753,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GNS0178,0.00083,0.262234,0.035639,0.173248,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MOS0047,0.00052,0.137009,0.208657,0.17205,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BMT0528,0.00032,0.163671,0.16702,0.170065,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IRM0931,0.001,0.195923,0.11809,0.168912,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ILH0958,0.00013,0.25544,0.035286,0.168538,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
UAD0771,0.00032,0.161091,0.162785,0.166701,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HAH0760,0.00032,0.163413,0.157845,0.165977,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LJT0817,0.00076,0.165735,0.153258,0.165706,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BAJ0654,0.00033,0.251054,0.032816,0.164983,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JHP0583,0.00015,0.136665,0.191602,0.164278,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
JMD0520,0.00033,0.162811,0.154669,0.16426,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CCA0046,0.00059,0.144319,0.177723,0.163224,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PDH0716,0.00013,0.14819,0.158433,0.156961,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MBJ0312,0.00136,0.087641,0.240767,0.156761,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
VCC0396,0.00078,0.138987,0.168549,0.15622,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SCP0130,0.00033,0.138901,0.167843,0.155557,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KCO0122,0.00064,0.137009,0.165138,0.153474,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AHM0410,0.00082,0.189043,0.091978,0.153464,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CIM0271,0.00078,0.133482,0.169607,0.15337,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GHH0288,0.00012,0.134428,0.16796,0.152779,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HRB0351,0.0017,0.22895,0.031052,0.1519,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HDH0928,0.00076,0.135633,0.161962,0.151369,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ESH0283,0.00079,0.227574,0.032581,0.151105,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AJN0607,0.00133,0.070526,0.242414,0.147173,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DMK0257,0.00074,0.128924,0.161256,0.147026,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
WIQ0567,0.0009,0.168143,0.101976,0.145261,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PAD0773,0.00034,0.220005,0.029052,0.144741,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NOB0181,0.00043,0.146469,0.123147,0.141006,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BVC0790,0.00105,0.083857,0.205716,0.13925,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DIW0118,0.00104,0.113013,0.159845,0.137076,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NDM0417,0.00081,0.110433,0.162197,0.136379,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
OLW0689,0.00071,0.10682,0.166784,0.136108,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IJM0444,0.00078,0.158252,0.087156,0.132888,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SNC0187,0.0003,0.199622,0.029522,0.13268,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
DIB0081,0.00038,0.135891,0.116326,0.131698,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HWW0436,0.00089,0.107078,0.154905,0.131294,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MVB0515,0.00032,0.152834,0.08598,0.128816,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BRB0355,0.00121,0.061237,0.210774,0.127951,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LRR0148,0.00096,0.078008,0.184545,0.126601,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
IBB0696,0.00014,0.084803,0.165608,0.121998,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PNH0761,0.00032,0.18113,0.028464,0.121141,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
GTD0219,0.00036,0.110175,0.112562,0.114635,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RHO0732,0.00133,0.073536,0.161609,0.114337,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
WXH0872,0.00135,0.071042,0.16502,0.114316,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
RRP0568,0.00076,0.12471,0.089038,0.113548,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
LBF0214,0.00139,0.106304,0.11068,0.112212,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
OCS0865,0.00144,0.075084,0.154081,0.112114,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SAB0781,0.00033,0.123936,0.086215,0.111578,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
AOK0844,0.00014,0.113615,0.095154,0.109086,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
BRS0734,0.00044,0.158682,0.030111,0.108456,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HBO0413,0.00077,0.059431,0.165608,0.107201,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ATP0662,0.00133,0.109487,0.092214,0.106163,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HCL0651,0.00033,0.062183,0.155258,0.104114,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CQW0652,0.00031,0.059861,0.156434,0.10321,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
NWT0098,0.00076,0.060377,0.152788,0.102265,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
ILJ0526,0.00034,0.106304,0.088685,0.102061,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
PMC0328,0.00033,0.05642,0.156904,0.101361,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
SMY0792,0.00077,0.103982,0.089155,0.101164,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CHM0821,0.00014,0.105616,0.086215,0.100452,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
KMB0922,0.00077,0.103982,0.086215,0.099904,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CEJ0109,0.00073,0.058399,0.149847,0.099797,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
TSR0676,0.00075,0.045756,0.16749,0.099786,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
HFB0347,0.00025,0.147588,0.022348,0.098338,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
FSC0601,0.00111,0.056162,0.148553,0.098161,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
CCL0068,0.00062,0.054184,0.148436,0.096587,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
FEB0306,0.00013,0.09951,0.084568,0.096074,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
MPT0376,0.0008,0.090651,0.09586,0.096058,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
QJR0688,0.00084,0.091941,0.09386,0.096002,No significant anomalous behavior,Low Risk,No ATT&CK Technique Triggered,
